name,latitude,longitude,locality,region,postcode,address,date_closed
City Coffee,45.53175573099614,-122.65763517623702,Portland,OR,97232,825 NE Multnomah St #130,
Coffee Cup,45.51623583080672,-122.79582050280627,Portland,OR,97225,11525 SW Choban Ln,
Jet Black Coffee Company,45.56163622759386,-122.63472423818887,Portland,OR,97211,5308 NE 30th Ave,
Roseline Coffee,45.524456,-122.662293,Portland,OR,97232,321 NE Davis St,
Dutch Bros Coffee,45.48824743218276,-122.5938897733023,Portland,OR,97206,6710 SE Foster Rd,
Wfm Coffee Bar,45.53702395559931,-122.618408203125,Portland,OR,97213,4301 Ne Sandy Blvd,
Little Bear Coffee & Milk Tea,45.509566530657054,-122.68155942824905,Portland,OR,97201,1927 SW 4TH Ave,
East Portland Coffee Roasters,45.50510448827426,-122.58146970905914,Portland,OR,97206,2404 SE 79th Ave,
Capitola Coffee,45.554356773659244,-122.67571052729356,Portland,OR,97217,4224 N Mississippi Ave,
Clive Coffee,45.51534871502958,-122.66511900381866,Portland,OR,97214,79 SE Taylor St,
Carnelian Coffee,45.4879195498085,-122.59197868130676,Portland,OR,97206,6923 SE Foster Rd,
Peets Coffee & Tea,45.52056754,-122.6787946,Portland,OR,97205,"508 SW Broadway,",
Ardent Coffee,45.485848909922986,-122.63727950463175,Portland,OR,97202,5120 SE 28th Ave,
Coffee Bean & Tea Leaf,45.541338274632196,-122.69691538513972,Portland,OR,97210,2181 NW Nicolai St,
The Happy Camper Food & Coffee Bar,45.493521649560535,-122.67154388296795,Portland,OR,97239,0651 SW Bancroft St,
Hypnos Coffee,45.550111,-122.666843,Portland,OR,97227,3761 N Williams Ave,
Portland Coffee House,45.51656988092192,-122.63964345031923,Portland,OR,97214,2511 SE Belmont St,2018-06-03
Mr. French Coffee House,45.51897911279081,-122.66429340540529,Portland,OR,97214,107 SE Washington St,
Allegro Coffee Company,45.523224524382286,-122.68328941476032,Portland,OR,97209,1210 Nw Couch St,2018-03-13
Nw Coffee Beer Invitational,45.5185565834675,-122.69387483596802,Portland,OR,97201,1927 SW Jefferson St,2016-06-11
Insomnia Coffee Company,45.52638771686652,-122.80580850149859,Portland,OR,97229,12535 NW Cornell Rd,
Boyds Coffee Stores,45.5201019959106,-122.68877049264566,Portland,OR,97205,1501 SW Taylor St,
Parkers Fine Coffee & Teas,45.5170483929426,-122.6602691123818,Portland,OR,97214,510 SE Morrison St,
Abba Coffee Roasters,45.5269849682884,-122.68258756314535,Portland,OR,97209,525 NW 11th Ave,
Blue Kangaroo Coffee Roasters,45.46708714348082,-122.65314409075914,Portland,OR,97202,7901 SE 13th Ave,
Coffee Max,45.53077864868475,-122.562757730484,Portland,OR,97220,1101 NE 99th Ave,2016-06-15
Brewed Hot Coffee,45.56502233776578,-122.52491580690496,Portland,OR,97230,13233 NE Jarrett St,
Capitol Coffee House,45.480527,-122.691658,Portland,OR,97239,6446 SW Capitol Hwy,2009-08-27
40 Lbs Coffee Bar,45.52054,-122.677536,Portland,OR,97204,400 SW 6th Ave,
Fremont Coffee,45.5484723739968,-122.61441951714585,Portland,OR,97213,4727 NE Fremont St,
Bastion Coffee,45.555019911887875,-122.67536990874268,Portland,OR,97217,4326 N Mississippi Ave,
Furura Coffee,45.50518,-122.617613,Portland,OR,97206,,
Heart Coffee,45.521927,-122.68292,Portland,OR,97205,537 SW 12th Ave,2020-02-05
Coffee Cartel,45.485952679306564,-122.72162841730132,Portland,OR,,,
Sip Coffee,45.505612,-122.653545,Portland,OR,97214,,
Olé Latte Coffee Psu,45.51068607439934,-122.68218425337713,Portland,OR,,SW 5TH Ave,
Futura Coffee Roasters,45.505163,-122.617428,Portland,OR,97206,4330 SE Division St,
Black Rock Coffee Bar,45.45298776900544,-122.7210154979199,Portland,OR,97219,10020 SW Capitol Hwy,
Jim & Patty’S Coffee,45.53736588812047,-122.77974840419424,Portland,OR,97229,2021 NW Miller Rd,
Dutch Bros Coffee,45.50443145178783,-122.48426429966969,Portland,OR,97236,17404 SE Division St,
Water Avenue Coffee,45.519119,-122.651296,Portland,OR,97214,1416 SE Stark St,
Britts Express Lane Coffee,45.559826904383435,-122.55745225820031,Portland,OR,97220,10209 NE Sandy Blvd,
Nossa Familia Coffee,45.51122491987143,-122.6630343275197,Portland,OR,,1633 SE 3rd Ave,
Peaks Coffee Pdx,45.51188519218093,-122.62998194475793,Portland,OR,97214,3340 SE Hawthorne Blvd,2023-05-29
7 Virtues Coffee,45.508889,-122.598129,Portland,OR,97213,6000 NE Glisan St,2012-03-20
Coffee People,45.50946034752614,-122.68442597728962,Portland,OR,97201,603 SW Jackson St,
Rain Or Shine Coffee House,45.505483774177954,-122.60181159134649,Portland,OR,97206,5941 SE Division St,
Coffee Romance,45.49761910162448,-122.58155806005787,Portland,OR,97206,7901 SE Powell Blvd,
Blend Coffee Lounge,45.56269939411389,-122.69490534388886,Portland,OR,97217,2710 N Killingsworth St,
Groundworks Coffee,45.52012183122575,-122.67206800762716,Portland,OR,,308 SW 1st Ave,
Mother Lovin Coffee,45.52609983600049,-122.58063428104019,Portland,OR,97213,8044 NE Glisan St,
Nico’S Coffee,45.56163622759386,-122.63472423818887,Portland,OR,97211,5308 NE 30th Ave,
Seattles Best Coffee,45.51198071632552,-122.68220029545058,Portland,OR,97201,1742 SW 6th Ave # AVE-5203,2024-06-09
"Coffee People, Powell",45.497089,-122.625649,Portland,OR,97202,3623 SE Powell Blvd,2013-03-18
Cadejo Coffee,45.523588,-122.679276,Portland,OR,97209,804 NW Couch St,
Spella Roastery,45.51953131553852,-122.65710713585366,Portland,OR,97214,,
Coffee Bar At The Tram,45.499101716666665,-122.67090391666666,Portland,OR,,,
Focus International Coffee House,45.510209924016884,-122.65348249544103,Portland,OR,97214,911 SW 11th (1st Baptist Church),
Tandem Coffee House,45.505029715116684,-122.63384086435562,Portland,OR,97202,3041 SE Division St,
Portland Roasting Coffee,45.52765875792061,-122.66192553281239,Portland,OR,97232,777 NE M L King Blvd,
Coffee Dugout,45.521631150097384,-122.69020206766596,Portland,OR,97205,742 SW 18th Ave # AVE-1636,
Peets Coffee & Tea,45.466370819008176,-122.75257144924106,Portland,OR,97223,7410 SW Oleson Rd,
Coffee Kids,45.59148210786463,-122.75645207764885,Portland,OR,97203,8836 N Lombard St,2017-07-19
Water Avenue Coffee,45.521928,-122.680712,Portland,OR,97205,,
K&F Clinton Street Coffeehouse,45.503415659951465,-122.63967429968308,Portland,OR,,2602 SE 26th Ave,
Wfm Coffee Bar,45.548882,-122.651358,Portland,OR,97212,3535 Ne 15th Ave,
Dutch Bros Coffee,45.518849602188205,-122.47040240049917,Portland,OR,97233,18710 SE Stark St,
Foxy Coffee,45.56350933549142,-122.68181452353447,Portland,OR,97217,5610 N Interstate Ave,
Moore Coffee,45.504542,-122.626557,Portland,OR,97202,,
Coffee & Crepes,45.54333452702002,-122.704209193335,Portland,OR,,,
City Coffee,45.52986459213165,-122.65917370050808,Portland,OR,97232,650 NE Holladay St,
Dutch Bros Coffee,45.455425353050884,-122.77919366746482,Portland,OR,97223,8940 SW Hall Blvd,
Coffee Cat,45.479529992265185,-122.62020237995226,Portland,OR,97202,4103 SE Woodstock Blvd,
Wilbers- Coffee,45.51560213985155,-122.67912188745684,Portland,OR,97204,,
Brew Line Coffee,45.53099677918691,-122.56279032975883,Portland,OR,97220,1101 NE 99th Ave,
Piroshki & A Pickle Coffeehouse,45.49266012991794,-122.6764525753809,Portland,OR,97239,,2017-12-02
Britts Express Lane Coffee,45.5594248543965,-122.56131262552029,Portland,OR,,NE Sandy,
Fritz Avanti Coffee,45.51835709873539,-122.67932127024699,Portland,OR,97204,811 SW 6th Ave,
Soro Soro Coffee & Dessert,45.522606200979844,-122.64225361795376,Portland,OR,97214,2250 E Burnside St,
Super Joy Coffee Lab/Roasters,45.52077488360958,-122.68664394269634,Portland,OR,97205,1401 SW Yamhill St,
Bridgetown Coffee Annex,45.54084688847264,-122.71747017498808,Portland,OR,97210,3460 NW Industrial St,
Peets Coffee & Tea,45.470346320298276,-122.69073243213228,Portland,OR,97219,7555 SW Barbur Blvd,
Harder Day Coffee Co,45.538145,-122.615773,Portland,OR,97213,4615 NE Sandy Blvd,
Re Coffee Glisan,45.52661241403319,-122.58844472151227,Portland,OR,97213,7201 NE Glisan St,
Happy Cup Coffee Bar,45.54810401896411,-122.66647532046086,Portland,OR,97212,12 NE Fremont St Unit 1W,
Trailhead Coffee Roasters,45.523201505070645,-122.64672596821532,Portland,OR,97214,1847 E Burnside St,
Bakers Dozen Coffee Beers & Doughnuts,45.52896418269738,-122.64395471891221,Portland,OR,97232,2117 NE Oregon St,2024-09-10
Yo Mamas Coffee & Tea,45.489199,-122.59574179,Portland,OR,,,2012-05-27
Ristretto Roasters Coffee Cart,45.52135302475224,-122.68130180891114,Portland,OR,,,2013-08-10
Amore Coffee Cafe,45.532463184704405,-122.65357368474835,Portland,OR,97232,,
Wild Rose Coffee,45.51033133898265,-122.68177015654565,Portland,OR,97201,1876 SW 5th Ave,
Tullys Coffee,45.587669,-122.591962,Portland,OR,97218,7000 NE Airport Way,2013-10-29
Deadstock Coffee,45.55909503540779,-122.63483041908329,Portland,OR,97211,3003 NE Alberta St,
Seven Virtues Coffee Roasters,45.511898167446816,-122.62780707780992,Portland,OR,97214,SE Hawthorne Blvd,
Prince Coffee,45.541558,-122.696877,Portland,OR,97210,2181 NW Nicolai St,2022-12-22
Sandino Coffee Roasters,45.486144167597814,-122.58834438753627,Portland,OR,,7238 SE Foster Rd,
Perk Me Up Coffee,45.442888777351776,-122.58069122024392,Portland,OR,97086,11211 SE 82nd Ave,
Broadway Coffee,45.51013302729097,-122.68431932721218,Portland,OR,97201,1924 SW Broadway,
Two Stroke Coffee,45.59169345877651,-122.7567784816075,Portland,OR,97203,8926 N Lombard St,
Coffee Lovers Bar & Cafe,45.49258703254193,-122.60155843006433,Portland,OR,97206,4144 SE 60th Ave,
Ristretto Roasters,45.51503067699148,-122.68179961520234,Portland,OR,97201,1320 SW Broadway,2019-02-08
